platform,method,num_regions,runningTime,width,height
OpenCL,region_growing,1,581.758,1920,1080
OpenCL,region_growing,2,26.7055,1920,1080
OpenCL,region_growing,1,2.04548,512,512
OpenCL,region_growing,2,193.594,512,512
OpenCL,region_growing,3,248.936,512,512
OpenCL,region_growing,4,97.8521,512,512
OpenCL,region_growing,5,287.921,512,512
OpenCL,region_growing,6,301.55,512,512
OpenCL,region_growing,7,249.646,512,512
OpenCL,region_growing,8,449.457,512,512
OpenCL,region_growing,9,360.936,512,512
OpenCL,region_growing,10,462.647,512,512
OpenCL,region_growing,11,488.537,512,512
OpenCL,region_growing,12,574.7,512,512
OpenCL,region_growing,13,453.28,512,512
OpenCL,region_growing,14,458.567,512,512
OpenCL,region_growing,15,581.598,512,512
OpenCL,region_growing,16,489.537,512,512
OpenCL,region_growing,17,418.718,512,512
OpenCL,region_growing,18,380.357,512,512
OpenCL,region_growing,19,476.783,512,512
OpenCL,region_growing,20,465.286,512,512
OpenCL,region_growing,21,475.832,512,512
OpenCL,region_growing,22,468.605,512,512
OpenCL,region_growing,23,603.476,512,512
OpenCL,region_growing,24,441.115,512,512
OpenCL,region_growing,25,485.516,512,512
OpenCL,region_growing,26,528.922,512,512
OpenCL,region_growing,27,451.186,512,512
OpenCL,region_growing,28,551.679,512,512
OpenCL,region_growing,29,478.638,512,512
OpenCL,region_growing,30,528.358,512,512
OpenCL,region_growing,31,486.32,512,512
OpenCL,region_growing,32,485.161,512,512
OpenCL,region_growing,33,675.76,512,512
OpenCL,region_growing,34,615.32,512,512
OpenCL,region_growing,35,558.426,512,512
OpenCL,region_growing,36,687.198,512,512
OpenCL,region_growing,37,677.539,512,512
OpenCL,region_growing,38,666.253,512,512
OpenCL,region_growing,39,590.839,512,512
OpenCL,region_growing,40,540.894,512,512
OpenCL,region_growing,41,599.652,512,512
OpenCL,region_growing,42,544.666,512,512
OpenCL,region_growing,43,530.695,512,512
OpenCL,region_growing,44,563.815,512,512
OpenCL,region_growing,45,560.493,512,512
OpenCL,region_growing,46,551.804,512,512
OpenCL,region_growing,47,540.443,512,512
OpenCL,region_growing,48,710.67,512,512
OpenCL,region_growing,49,681.619,512,512
OpenCL,region_growing,50,573.111,512,512
OpenCL,region_growing,50,599.232,512,512
OpenCL,region_growing,51,564.285,512,512
OpenCL,region_growing,52,634.636,512,512
OpenCL,region_growing,53,656.503,512,512
OpenCL,region_growing,54,617.045,512,512
OpenCL,region_growing,55,616.775,512,512
OpenCL,region_growing,56,617.387,512,512
OpenCL,region_growing,57,644.324,512,512
OpenCL,region_growing,58,616.368,512,512
OpenCL,region_growing,59,604.411,512,512
OpenCL,region_growing,60,755.984,512,512
OpenCL,region_growing,61,639.728,512,512
OpenCL,region_growing,62,630.616,512,512
